loadcase,configuration,partition,component,section_id,label,cen_x,cen_y,cen_z,Fx,Fy,Fz,Mx,My,Mz
LC100245,ALL,component,fuselage,30000001,Nosecone,102.3575,0.0,100.0,22.5666018582,1.2282471170000013,-14.7548144688,1.3729283482404213,43.777430004903636,4.221134372480691
LC100245,ALL,component,fuselage,30000002,Fwd Body 1,108.97,0.0,100.0,-4.538364642000002,-6.188290160000003,-25.774805336,-1.1322902761448859,40.695003959455335,-9.81836520751915
LC100245,ALL,component,fuselage,30000003,Fwd Body 2,118.97,0.0,100.0,-16.59590152199,3.0056661158000044,-55.0632001349,-0.7829855201051714,42.37362905377995,-2.872792084988191
LC100245,ALL,component,fuselage,30000004,Mid Body 1,128.97,0.0,100.0,-0.18272308324199993,-1.2738995418999997,-50.5919071486,-16.67172958400016,-28.74724805914866,5.367649806433803
LC100245,ALL,component,fuselage,30000005,Mid Body 2,138.97,0.0,100.0,-0.1729030841524,-0.8622129013,-39.6977495277,-10.649309820294718,-8.867613669935054,-2.4556493549206238
LC100245,ALL,component,fuselage,30000006,Mid Body 3,148.97,0.0,100.0,-0.95840669924,-0.4231301263,-34.175852547699996,-13.42212395075084,-82.42647396564735,1.4431236894532233
LC100245,ALL,component,fuselage,30000007,Mid Body 4,158.97,0.0,100.0,-0.491797260781,-0.023723677199999963,-34.531579703748,-11.483068593688067,45.560628325088146,0.26325058613210395
LC100245,ALL,component,fuselage,30000008,Aft Body 1,168.97,0.0,100.0,-0.040836827644000005,-0.09765778699999945,-53.598641545,-15.265905554090146,-46.14925996558304,-0.5205273117322484
LC100245,ALL,component,fuselage,30000009,Aft Body 2,178.97,0.0,100.0,10.4339236077,-0.19735495389999996,-42.701456623,7.973453599424978,-9.739497973134348,-4.454752347780641
LC100245,ALL,component,fuselage,30000010,Aft Body 3,186.985,0.0,100.0,-8.393388247919999,2.8356102276,-36.459199431,-2.835763263077183,20.143651232408956,-5.106358561887191
LC100245,ALL,component,tail lh,70000004,Fin LH 4,188.1517863,-12.894,106.6768274,-0.007472909,-0.357398751,-2.8409246,0.13710465291340768,1.5037031764328503,0.12646211508491945
LC100245,ALL,component,tail lh,70000003,Fin LH 3,186.7453776,-10.46066667,105.6927033,-0.013087617,-0.4531900351,-4.5448293,1.648813407611783,6.989499563269305,-0.021854497541028195
LC100245,ALL,component,tail lh,70000002,Fin LH 2,185.3389688,-8.027333333,104.7085793,-0.014038468,-0.44121682219999997,-4.7484855,1.737697536799132,7.407020971905013,-0.0566593696380977
LC100245,ALL,component,tail lh,70000001,Fin LH 1,183.3349327,-4.56,103.30627,-0.024335537,-0.6226670971,-7.8495083,6.486485931983793,15.732158170959565,-0.3790052654684217
LC100245,ALL,component,tail lower,60000004,Fin Lower 4,186.644473,0.0,90.83075,-0.004824951,1.905614915,-1.2621553,0.5247723439512413,2.673527001652303,-1.7085604029617798
LC100245,ALL,component,tail lower,60000003,Fin Lower 3,185.3776247,0.0,93.025,-0.005640117,2.155359277,-1.4696035,1.7276747890090007,3.005683945079511,-0.3509092545793919
LC100245,ALL,component,tail lower,60000002,Fin Lower 2,184.4322155,0.0,94.6625,-0.008221892,2.332692895,-2.1362838,1.8588509223874894,4.333026725002014,0.10102843971810671
LC100245,ALL,component,tail lower,60000001,Fin Lower 1,183.4868063,0.0,96.3,-0.009697129,2.166835096,-2.5130552,1.841174228537966,5.235640850211212,0.6413302871500832
LC100245,ALL,component,tail rh,80000001,Fin RH 1,183.3349327,4.56,103.30627,-0.024658823,-1.6110821735,-2.40330626,-0.7454664554278452,14.505082928628553,-0.23513536734037643
LC100245,ALL,component,tail rh,80000002,Fin RH 2,185.3389688,8.027333333,104.7085793,-0.013861199,-1.0781653333,-0.9401422939999999,-0.4468658888871886,8.161718837606173,0.32742203410666093
LC100245,ALL,component,tail rh,80000003,Fin RH 3,186.7453776,10.46066667,105.6927033,-0.013204677,-1.138143737,-0.638182508,-0.40432821347762626,8.046211054268312,0.493201216233075
LC100245,ALL,component,tail rh,80000004,Fin RH 4,188.1517863,12.894,106.6768274,-0.007215405,-0.8586856191,0.2360526225,0.3775760761851643,2.9876105661866674,0.45669107123779895
LC100245,FF,component,wing lh,40000006,LH Wing 6,158.4834695,-30.0,96.0,0.3420533341,0.1584930183,35.20821582,-52.71049665742362,-14.053274187403986,1.5644318202130023
LC100245,FF,component,wing lh,40000005,LH Wing 5,155.4811919,-24.8,96.0,-0.5169900591,-0.273861977,56.55168325,-163.38457490133078,-76.03317965591123,-1.630404210619524
LC100245,FF,component,wing lh,40000004,LH Wing 4,152.4789144,-19.6,96.0,-0.1447158053,-0.0784952201,54.423924008,-142.8135243767308,-83.85876186425048,0.4372425859833591
LC100245,FF,component,wing lh,40000003,LH Wing 3,149.4766368,-14.4,96.0,-0.0797459215,-0.028476517000000007,61.24158853,-150.15445076307594,-89.507408456966,0.5206757028325253
LC100245,FF,component,wing lh,40000002,LH Wing 2,146.4743592,-9.2,96.0,0.142099816,0.09638924,75.5667925,-197.47736299495,-121.13689941805205,1.7369870964039915
LC100245,FF,component,wing lh,40000001,LH Wing 1,144.4628333,-5.716,96.0,0.1442265481,0.1259513897,75.9214468,-65.88105905962004,-37.56669008293284,1.4463311366703628
LC100245,FF,component,wing rh,50000001,RH Wing 1,144.4628333,5.716,96.0,0.1375934342,-0.12305141010000001,73.3515877,63.82297669154235,-35.26724486386411,-1.4422772963994603
LC100245,FF,component,wing rh,50000002,RH Wing 2,146.4743592,9.2,96.0,0.142992056,-0.09595185,74.3612184,194.93990562659008,-118.69656066710559,-1.7419296897884795
LC100245,FF,component,wing rh,50000003,RH Wing 3,149.4766368,14.4,96.0,-0.074881673,0.026960864,60.63182693,148.64895012904196,-88.3959655777162,-0.5382401708135953
LC100245,FF,component,wing rh,50000004,RH Wing 4,152.4789144,19.6,96.0,-0.1378091467,0.0745511064,53.959864924,141.67581092115302,-83.13288724211452,-0.4692009898571943
LC100245,FF,component,wing rh,50000005,RH Wing 5,155.4811919,24.8,96.0,-0.4811698988,0.2576021933,56.988605649,165.08340084716565,-78.76468467664017,1.3680515949952081
